name,latitude,longitude,population
Köthen,51.75185,11.97093,28710
Rietberg,51.80924,8.42841,28672
Mühlheim am Main,50.11667,8.83333,28534
Warstein,51.44488,8.34851,28532
Meissen,51.16158,13.4737,28492
Neuburg an der Donau,48.73218,11.18709,28370
Winnenden,48.87563,9.39819,28334
Geilenkirchen,50.96745,6.11763,28334
Rendsburg,54.30663,9.66313,28323
Schwandorf in Bayern,49.32534,12.1098,28235
Plettenberg,51.20949,7.87261,28206
Karlshorst,52.48419,13.53185,28206
Baunatal,51.25182,9.40747,28173
Neustadt/Nord,50.949,6.9479,28146
Bretten,49.03685,8.70745,28144
Lennestadt,51.11721,8.06707,28102
Kevelaer,51.58243,6.24603,28064
Stuttgart Feuerbach,48.80867,9.15719,28046
Saalfeld,50.64826,11.36536,28023
Friedenau,52.47133,13.32813,27998
Geislingen an der Steige,48.62423,9.82736,27962
Einbeck,51.82018,9.86961,27931
Leichlingen,51.10628,7.01873,27885
Rinteln,52.18604,9.07917,27843
Baesweiler,50.90964,6.18874,27834
Bad Neuenahr-Ahrweiler,50.54322,7.1113,27823
Nordenham,53.4861,8.48093,27714
Heiligenhaus,51.32662,6.97106,27700
Kulmbach,50.10068,11.45032,27565
Dotzheim,50.0746,8.21021,27557
Sundern,51.3281,8.00369,27554
Bad Zwischenahn,53.18333,8.0,27550
Selm,51.69689,7.46809,27540
Mechernich,50.59304,6.65224,27537
Altstadt Sud,50.93331,6.95954,27515
Königsbrunn,48.27506,10.89178,27494
Friedberg,50.33739,8.75591,27484
Hamminkeln,51.73262,6.59031,27433
Neckarsulm,49.18912,9.22527,27413
Emmendingen,48.12096,7.85359,27383
Lohne,52.66625,8.2375,27259
Overath,50.93275,7.28389,27203
Leimen,49.34737,8.68733,27190
Wersten,51.18459,6.81249,27151
Rathenow,52.60659,12.33696,27115
Petershagen,52.37513,8.96538,27090
Ilmenau,50.68322,10.91858,27055
Wangen,47.6895,9.83247,27045
Niederrad,50.08309,8.62852,27043
Brilon,51.39462,8.57146,27030
Landsberg am Lech,48.04819,10.88282,27017
Verden,52.92343,9.23491,26924
Sankt Wendel,49.46633,7.16814,26904
Rösrath,50.89559,7.18175,26868
Strausberg,52.57859,13.88741,26649
Wiesloch,49.29504,8.69846,26605
Glauchau,50.81987,12.54493,26473
Remseck am Neckar,48.87213,9.27334,26467
Osdorf,53.57982,9.85826,26420
Lauf an der Pegnitz,49.51386,11.28247,26403
Sprockhövel,51.34669,7.24343,26400
Ehingen,48.28259,9.72749,26398
Espelkamp,52.38251,8.62127,26378
Mühlacker,48.94754,8.83675,26375
Wiehl,50.9495,7.55062,26291
Rheinbach,50.62562,6.94911,26262
Weinstadt-Endersbach,48.81311,9.36387,26166
Schmallenberg,51.15473,8.28505,26132
Hennigsdorf,52.63598,13.20419,26122
Stuttgart Mühlhausen,48.84232,9.23028,26111
Fischeln,51.30353,6.58836,26030
Garmisch-Partenkirchen,47.49209,11.09576,26022
Altona-Nord,53.56321,9.94257,25802
Zittau,50.89772,14.80764,25785
Zirndorf,49.4424,10.95414,25734
Rummelsburg,52.50146,13.4934,25697
Olpe,51.02899,7.85139,25686
Arnstadt,50.84048,10.95198,25678
Herdecke,51.39999,7.43584,25618
Lübbecke,52.30699,8.61423,25573
Unterschleißheim,48.28038,11.57684,25567
Übach-Palenberg,50.91775,6.12336,25544
Helmstedt,52.2279,11.00985,25515
Meckenheim,50.62388,7.02942,25515
Rottweil,48.16783,8.62719,25510
Rudolstadt,50.72043,11.34046,25476
Heppenheim an der Bergstrasse,49.64145,8.63206,25442
Bad Honnef,50.64336,7.2278,25348
Griesheim,49.86085,8.5725,25287
Reinbek,53.51703,10.2488,25261
Wolfen,51.66122,12.26873,25251
Varel,53.39693,8.13621,25212
Netphen,50.91667,8.1,25163
Butzbach,50.43395,8.67122,25156
Mosbach,49.35357,9.15106,25106
Horb am Neckar,48.44423,8.6913,25092
Pfungstadt,49.80557,8.60307,25084
Roth,49.24762,11.09111,25083
Hannoversch Münden,51.41505,9.65046,25073
Hattersheim,50.06906,8.48632,25035
Ingelheim am Rhein,49.97078,8.05883,24998
Delitzsch,51.52546,12.34284,24998
Burg bei Magdeburg,52.27152,11.85493,24958
Bedburg,50.99258,6.57128,24937
Aschersleben,51.75742,11.46084,24892
Wertheim,49.759,9.50852,24869
Blasewitz,51.05305,13.79831,24863
Eißendorf,53.45216,9.95131,24863
Eppendorf,53.5924,9.98752,24806
Apolda,51.02624,11.51638,24793
Attendorn,51.12645,7.90333,24773
Norden,53.59552,7.20639,24767
Wittenau,52.59319,13.32127,24726
Waldkraiburg,48.20854,12.39893,24676
Markkleeberg,51.2755,12.36906,24664
Bingen am Rhein,49.96675,7.8992,24657
Nieder-Ingelheim,49.97756,8.07246,24596
Salzkotten,51.6717,8.60092,24561
Lindau,47.54612,9.68431,24518
Korbach,51.27561,8.873,24481
Achern,48.63115,8.07607,24478
Ellwangen,48.96164,10.13173,24477
Dillenburg,50.74114,8.28699,24461
Obertshausen,50.07139,8.85123,24459
Walsrode,52.86147,9.5926,24448
Friedrichsdorf,50.24962,8.64281,24435
Werdau,50.73604,12.37534,24424
Bad Oldesloe,53.81167,10.37417,24322
Warburg,51.49011,9.14641,24317
Syke,52.91345,8.82209,24274
Weiterstadt,49.9039,8.58874,24253
Harsewinkel,51.96224,8.22766,24207
Wallenhorst,52.35,8.01667,24201
Ludwigsfelde,52.30322,13.25405,24164
Ditzingen,48.82672,9.06703,24149
Greiz,50.65778,12.19918,24147
Poppenbüttel,53.65917,10.08472,24135
Schleswig,54.52156,9.5586,24114
Radevormwald,51.20219,7.36027,24100
Lüdinghausen,51.7683,7.44379,24094
Verl,51.88333,8.51667,24002
Olching,48.2,11.33333,23978
Sonneberg,50.3592,11.17463,23908
Freudenstadt,48.46695,8.41371,23868
Weingarten,47.81009,9.63863,23802
Calw,48.71419,8.74031,23740
Wipperfürth,51.1161,7.39865,23723
Limbach-Oberfrohna,50.85882,12.76165,23711
Groß-Gerau,49.92139,8.48255,23641
Oberschöneweide,52.46106,13.52108,23638
Neuehrenfeld,50.95753,6.93611,23621
Stellingen,53.5922,9.9287,23472
Ronnenberg,52.31939,9.65544,23416
Eckernförde,54.46854,9.83824,23383
Geretsried,47.85775,11.48054,23364
Sangerhausen,51.47221,11.29533,23347
Herzogenaurach,49.56798,10.88565,23319
Blieskastel,49.23724,7.25617,23212
Pfaffenhofen an der Ilm,48.53053,11.505,23192
Sasel,53.65385,10.11184,23131
Hoheluft-Ost,53.58399,9.97585,23116
Annaberg-Buchholz,50.57953,13.00627,23092
Starnberg,48.00193,11.34416,23086
Stadthagen,52.32333,9.20311,23076
Sehnde,52.31394,9.9682,23060
Opladen,51.06863,7.00387,23000
Staßfurt,51.85186,11.58508,22960
Bad Harzburg,51.88268,10.56157,22954
Nagold,48.5498,8.72366,22912
Duderstadt,51.51312,10.25951,22910
Bad Soden am Taunus,50.1408,8.50449,22871
Forst,51.73544,14.63971,22843
Quedlinburg,51.78843,11.15006,22814
Idstein,50.21773,8.26679,22810
Kalk,50.94013,7.00605,22802
Öhringen,49.19884,9.5072,22765
Schmargendorf,52.47517,13.29071,22733
Lengerich,52.18661,7.86043,22697
Eisleben Lutherstadt,51.52754,11.54835,22668
Isernhagen Farster Bauerschaft,52.47093,9.84179,22601
Schwetzingen,49.38217,8.5823,22593
