,lat,lng
4381,48.2334,14.9028333
4382,48.231875,14.94355
4391,48.27075,14.9452125
4392,48.2707,14.9452
4400,48.0343923,14.4093769
4407,48.0689667,14.4217167
4421,48.00172,14.32712
4431,48.0849667,14.492
4432,48.15,14.5
4441,48.021625,14.494775
4442,47.9888143,14.5193714
4443,47.97625,14.538075
4451,47.9940438,14.4000375
4452,47.9333,14.35
4453,47.9333,14.35
4460,47.93715,14.44335
4461,47.9446333,14.4454667
4462,47.8833,14.45835
4463,47.891,14.4995111
4464,47.8167,14.6333
4470,48.2066071,14.4577071
4481,48.2229167,14.4195167
4482,48.1911,14.47175
4483,48.1558455,14.4319364
4484,48.1563214,14.4520071
4490,48.1971,14.3780667
4491,48.1641556,14.3378667
4492,48.16782,14.3732
4493,48.15005,14.3639
4501,48.1387,14.2276
4502,48.1439571,14.2920071
4511,48.1499,14.19636
4521,48.07095,14.2975625
4522,48.06765,14.299975
4523,48.0321333,14.3395667
4531,48.0930909,14.2103818
4532,48.0756,14.1959889
4533,48.0972667,14.2164833
4540,48.0364,14.1821
4541,47.9996667,14.1961833
4542,47.9880714,14.1623714
4550,48.0169667,14.1118667
4551,48.0178182,14.0813909
4552,48.0038714,14.1178286
4553,47.95472,14.11284
4554,47.96245,14.1347
4560,47.9056,14.1223
4562,47.8926,14.0304
4563,47.89345,14.1231
4564,47.8314,14.1572
4565,47.915925,14.082925
4571,47.8068333,14.1515667
4572,47.755975,14.2018
4573,47.7173429,14.1930429
4574,47.727325,14.2142
4575,47.7276778,14.2654667
4580,47.7188667,14.3501
4581,47.7158333,14.3717667
4582,47.6927429,14.3435
4591,47.855125,14.292825
4592,47.9270667,14.2398
4593,47.9482,14.2466
4594,47.9533,14.28758
4595,47.9935143,14.2611286
4596,47.96385,14.275075
4600,48.1675,14.0237884
4611,48.221528,14.042764
4612,48.2417733,14.0248067
4613,48.22175,14.0569875
4614,48.2056167,14.0860667
4615,48.2238333,14.0695667
4616,48.184175,14.1012375
4621,48.1097556,14.0553556
4622,48.13485,14.100125
4623,48.1422481,13.9503865
4624,48.138368,13.935284
4625,48.1421437,13.9376719
4631,48.192144,13.914372
4632,48.1882193,13.896893
4633,48.1829706,13.8700706
4641,48.0581143,14.0195286
4642,48.04692,14.05383
